
上海频道,#genre#
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海外语,http://180.163.152.145/tencent-upcloud-live.bestvcdn.com.cn:8080/live/program/live/wypdhd/4000000/mnf.m3u8
上海外语,http://39.134.39.39/PLTV/88888888/224/3221226201/index.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
上海纪实,http://180.163.152.145/tencent-upcloud-live.bestvcdn.com.cn:8080/live/program/live/jspdhd/4000000/mnf.m3u8
法制天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
浦东财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
七彩戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://112.25.48.68/live/program/live/qcxj/1300000/mnf.m3u8
七彩戏曲,http://140.207.241.2:8080/live/program/live/qcxj/1300000/mnf.m3u8
生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
新闻综合,http://180.163.152.145/keonline.shanghai.liveplay.qq.com/live/program/live/xwzhhd/4000000/mnf.m3u8
新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
全纪实,http://112.25.48.68/live/program/live/qjshd/4000000/mnf.m3u8
极速汽车,http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云,http://112.25.48.68/live/program/live/yxfyhd/4000000/mnf.m3u8
五星体育,http://121.51.74.85/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://223.111.195.50/tencent-upcloud-live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://111.40.196.25/PLTV/88888888/224/3221225503/index.m3u8
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://112.25.48.68/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://223.111.195.50/tencent-upcloud-live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
魅力足球,http://180.163.152.145/tencent-upcloud-live.bestvcdn.com.cn:8080/live/program/live/mlyyhd/4000000/mnf.m3u8
魅力足球,hhttp://121.51.74.85/keonline.shanghai.liveplay.qq.com/live/program/live/mlyyhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/hhxdhd/4000000/mnf.m3u8
哈哈炫动,http://183.207.255.188/live/program/live/xdkt/1300000/mnf.m3u8

央视频道,#genre#
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?
CCTV-2,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?
CCTV-3,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?
CCTV-4,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240281_1/encoder/0/playlist.m3u8?
CCTV-5+,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?
CCTV-6,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?
CCTV-7,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?
CCTV-8,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240478_1/encoder/0/playlist.m3u8?
CCTV-10,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?
CCTV-11,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?
CCTV-12,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?
CCTV-13,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?
CCTV-14,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?
CCTV-15,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?
CCTV-16 4K,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240389_1/encoder/0/playlist.m3u8?
CCTV-16,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?
CCTV-17,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240326_1/encoder/0/playlist.m3u8?
CGTN,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240365_1/encoder/0/playlist.m3u8?
CGTN法语,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240368_1/encoder/0/playlist.m3u8?
CGTN西班牙,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240367_1/encoder/0/playlist.m3u8?
CGTN阿拉伯,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240369_1/encoder/0/playlist.m3u8?
CGTN俄罗斯,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240370_1/encoder/0/playlist.m3u8?
CETV1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240302_1/encoder/0/playlist.m3u8?
CCTV-1,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000210103.m3u8
CCTV-2,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000203603.m3u8
CCTV-3,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000203803.m3u8
CCTV-4,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204803.m3u8
CCTV-5,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000205103.m3u8
CCTV-5+,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204503.m3u8
CCTV-6,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000203303.m3u8
CCTV-7,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000510003.m3u8
CCTV-8,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000203903.m3u8
CCTV-9,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000499403.m3u8
CCTV-10,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000203503.m3u8
CCTV-11,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204103.m3u8
CCTV-12,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000202603.m3u8
CCTV-13,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204603.m3u8
CCTV-14,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204403.m3u8
CCTV-15,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000205003.m3u8
CCTV-16,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012375003.m3u8
CCTV-17,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000204203.m3u8
CCTV-4k,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000266303.m3u8
CCTV怀旧剧场,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012511203.m3u8
CCTV高尔夫网球,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012512503.m3u8
CCTV世界地理,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513303.m3u8
CCTV世界地理,https://180.96.55.114/tlivectfree-cdn.ysp.cctv.cn/2012513303.m3u8
CCTV兵器科技,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513403.m3u8
CCTV卫生健康,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513503.m3u8
CCTV风云剧场,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513603.m3u8
CCTV央视台球,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513703.m3u8
CCTV文化精品,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513803.m3u8
CCTV女性健康,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012513903.m3u8
CCTV电视指南,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012514003.m3u8
CCTV风云音乐,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012514103.m3u8
CCTV风云足球,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012514203.m3u8
CCTV第一剧场,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2012514403.m3u8
CGTN,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2001656803.m3u8
CGTN纪录,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2010155403.m3u8
CGTN法语,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2010153503.m3u8
CGTN俄语,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2010152603.m3u8
CGTN阿拉伯语,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2010155203.m3u8
CGTN西班牙语,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2010152503.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-11,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16 4K,http://liveop.CCTV-.cn/hls/CCTV-16HD/playlist.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

卫视频道,#genre#
湖南卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240130_1/encoder/0/playlist.m3u8?
北京卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8?
江苏卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240133_1/encoder/0/playlist.m3u8?
深圳卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240132_1/encoder/0/playlist.m3u8?
浙江卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240134_1/encoder/0/playlist.m3u8?
广东卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240137_1/encoder/0/playlist.m3u8?
湖北卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240135_1/encoder/0/playlist.m3u8?
天津卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240136_1/encoder/0/playlist.m3u8?
东方卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240242_1/encoder/0/playlist.m3u8?
山东卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240254_1/encoder/0/playlist.m3u8?
辽宁卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240255_1/encoder/0/playlist.m3u8?
安徽卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240256_1/encoder/0/playlist.m3u8?
东南卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240588_1/encoder/0/playlist.m3u8?
黑龙江卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240131_1/encoder/0/playlist.m3u8?
金鹰纪实,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240303_1/encoder/0/playlist.m3u8?
河北卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240317_1/encoder/0/playlist.m3u8?
贵州卫视,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240318_1/encoder/0/playlist.m3u8?
CHC家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangbacea9011d928b7714a215/1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8
北京卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000272103.m3u8
江苏卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000295603.m3u8
东方卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000292403.m3u8
浙江卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000295503.m3u8
湖南卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000296203.m3u8
湖北卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000294503.m3u8
广东卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000292703.m3u8
广西卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000294203.m3u8
黑龙江卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000293903.m3u8
海南卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000291503.m3u8
重庆卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000297803.m3u8
深圳卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000292203.m3u8
四川卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000295003.m3u8
河南卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000296103.m3u8
东南卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000292503.m3u8
贵州卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000293303.m3u8
江西卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000294103.m3u8
辽宁卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000281303.m3u8
安徽卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000298003.m3u8
河北卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000293403.m3u8
山东卫视,https://36.99.66.166/tlivectfree-cdn.ysp.cctv.cn/2000294803.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
